X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
50.0,-57.0,27.0,0.037,0.037,0.109
50.0,-27.0,27.0,0.029,0.029,0.07399999999999998
50.0,3.0,27.0,0.021,0.021,0.042
50.0,33.0,27.0,0.023,0.023,0.005
50.0,63.0,27.0,0.031,0.031,-0.028
50.0,-87.0,-3.0,0.001,0.001,0.146
50.0,-57.0,-3.0,0.01,0.01,0.108
50.0,-27.0,-3.0,0.003,0.003,0.076
50.0,3.0,-3.0,-0.0,-0.0,0.04
50.0,33.0,-3.0,0.005,0.005,0.006
50.0,63.0,-3.0,-0.0,-0.0,-0.028
50.0,-87.0,-33.0,-0.032,-0.032,0.146
50.0,-57.0,-33.0,-0.038,-0.038,0.114
50.0,-27.0,-33.0,-0.034,-0.034,0.078
50.0,3.0,-33.0,-0.04,-0.04,0.041
50.0,33.0,-33.0,-0.027,-0.027,0.006
50.0,63.0,-33.0,-0.036000000000000004,-0.036000000000000004,-0.028
50.0,-57.0,-63.0,-0.066,-0.066,0.11
50.0,-27.0,-63.0,-0.061,-0.061,0.076
50.0,3.0,-63.0,-0.063,-0.063,0.04
50.0,33.0,-63.0,-0.068,-0.068,0.008
50.0,63.0,-63.0,-0.06499999999999999,-0.06499999999999999,-0.028
50.0,-27.0,-93.0,-0.098,-0.098,0.07299999999999998
50.0,3.0,-93.0,-0.09300000000000001,-0.09300000000000001,0.04
